fc:3f:7c:1b:cc:6b, 1542449621, 1542449758, patricia, 137
fc:3f:7c:1b:cc:6b, 1542449660, 1542449758, patricia, 98
fc:3f:7c:1b:cc:6b, 1542449696, 1542449758, patricia, 62
fc:3f:7c:1b:cc:6b, 1542449739, 1542449758, patricia, 19
00:a0:57:1d:d1:03, 1542449763, 1542449768, patricia, 5
b6:bc:b5:44:50:20, 1542449649, 1542449784, patricia, 135
06:b5:c2:1c:d1:c6, 1542449476, 1542449790, patricia, 314
82:a7:9c:07:f7:87, 1542449486, 1542449790, patricia, 304
da:a1:19:28:8c:e1, 1542449730, 1542449790, patricia, 60
5c:2e:59:66:87:bd, 1542449807, 1542449809, patricia, 2
08:c5:e1:24:60:bd, 1542449402, 1542449815, patricia, 413
da:a1:19:01:85:98, 1542449754, 1542449816, patricia, 62
b8:1d:aa:c3:08:0c, 1542449459, 1542449827, patricia, 368
b8:1d:aa:c3:08:0c, 1542449521, 1542449827, patricia, 306
b8:1d:aa:c3:08:0c, 1542449582, 1542449827, patricia, 245
00:00:00:02:02:02, 1542449506, 1542449834, patricia, 328
00:00:00:02:02:02, 1542449588, 1542449834, patricia, 246
00:00:00:02:02:02, 1542449671, 1542449834, patricia, 163
00:00:00:02:02:02, 1542449736, 1542449834, patricia, 98
40:88:05:4b:43:b7, 1542449703, 1542449863, patricia, 160
5c:77:76:6c:bf:91, 1542449796, 1542449871, patricia, 75
9c:5c:f9:70:0c:19, 1542449356, 1542449872, patricia, 516
fc:3f:7c:1b:cc:6b, 1542449868, 1542449876, patricia, 8
40:f3:08:ff:7d:93, 1542449526, 1542449900, patricia, 374
64:a2:f9:4c:00:9b, 1542449903, 1542449907, patricia, 4
82:20:21:52:38:08, 1542449894, 1542449914, patricia, 20
d8:5b:2a:f4:14:cf, 1542449130, 1542449915, patricia, 785
04:d6:aa:25:7f:d9, 1542449678, 1542449925, patricia, 247
80:4e:70:0b:74:56, 1542449748, 1542449931, patricia, 183
80:4e:70:0b:74:56, 1542449779, 1542449931, patricia, 152
da:a1:19:01:85:98, 1542449817, 1542449937, patricia, 120
88:79:7e:ed:b1:42, 1542449556, 1542449953, patricia, 397
d0:b1:28:e7:6a:b1, 1542449445, 1542449953, patricia, 508
5c:ca:1a:0b:1a:e8, 1542449166, 1542449955, patricia, 789
5c:ca:1a:0b:1a:e8, 1542449225, 1542449955, patricia, 730
5c:ca:1a:0b:1a:e8, 1542449705, 1542449955, patricia, 250
